Afrikaans,af,soggy,NA,pap,pap
Afrikaans,af,grooved,1.7,gegroefde,grooved
Afrikaans,af,ridged,3.1,geriffelde,corrugated
Afrikaans,af,velvety,-5.3,fluweelagtige,velvety
Afrikaans,af,coated,-2.8,bedekte,covered
Afrikaans,af,fluffy,NA,donsig,fluffy
Afrikaans,af,ribbed,3.4,geribde,ribbed
Afrikaans,af,stubbly,5,stoppelig,stubbly
Afrikaans,af,gnarled,4.4,knoestige,gnarled
Afrikaans,af,lacy,-1.4,Lacy,Lacy
Afrikaans,af,abrasive,6.3,skuur,barn
Afrikaans,af,bony,2.5,benige,bony
Afrikaans,af,slippery,-6.2,glibberige,slippery
Afrikaans,af,lumpy,2.9,klonterig,lumpy
Afrikaans,af,knobby,2.6,knobbelrige,knobby
Afrikaans,af,rough,6.2,rowwe,rough
Afrikaans,af,coarse,5.4,growwe,rough
Afrikaans,af,sharp,NA,skerp,sharp
Afrikaans,af,indestructible,NA,onvernietigbaar,Indestructible
Afrikaans,af,jagged,6.3,kronkelende,meandering
Afrikaans,af,textured,0.8,tekstuur,texture
Afrikaans,af,limp,NA,slap,slow
Afrikaans,af,wooden,1.3,hout,wood
Afrikaans,af,metallic,-1.9,metaal,metal
Afrikaans,af,shiny,-4.2,blink,shine
Afrikaans,af,polished,-5.3,gepoleerde,polished
Afrikaans,af,painted,-3,geverf,painted
Afrikaans,af,fine,-5.2,fyn,fine
Afrikaans,af,delicate,NA,delikate,delicate
Afrikaans,af,rippled,3.1,plooi,fold
Afrikaans,af,serrated,4,getande,toothed
Afrikaans,af,bumpy,3.3,stamperige,bumpy
Afrikaans,af,matted,0.3,matte,rugs
Afrikaans,af,rubbery,NA,rubberagtige,rubbery
Afrikaans,af,woolly,0,wollerige,woolly
Afrikaans,af,flimsy,NA,swak,weak
Afrikaans,af,beaded,3,kralewerk,beadwork
Afrikaans,af,crinkly,2.7,kroes,pot
Afrikaans,af,crumpled,3.1,gefrommel,crumpled
Afrikaans,af,foamy,NA,skuim,foam
Afrikaans,af,sandy,3.9,sanderige,sandy
Afrikaans,af,dented,2.4,ingeduik,dented
Afrikaans,af,muscular,NA,gespierde,muscular
Afrikaans,af,icy,-4.3,ysige,icy
Afrikaans,af,scratchy,5,krapperig,scratchy
Afrikaans,af,pebbly,3.8,klipperige,stony
Afrikaans,af,gravelly,4.1,grind,gravel
Afrikaans,af,firm,4.2,firma,firm
Afrikaans,af,tough,NA,taai,tough
Afrikaans,af,starched,NA,gestyfde,starched
Afrikaans,af,comfortable,NA,gemaklik,comfortable
Afrikaans,af,ceramic,-2.5,keramiek,ceramics
Afrikaans,af,crusty,2.9,bedonnerde,crusty
Afrikaans,af,callused,4.2,vasgekallus,callused
Afrikaans,af,frayed,-0.8,uitgerafelde,frayed
Afrikaans,af,gelatinous,-4.2,gelatienagtige,gelatinous
Afrikaans,af,bald,-4.1,kaal,naked
Afrikaans,af,corroded,3.5,verroes,rusty
Afrikaans,af,knitted,NA,gebreide,knitted
Afrikaans,af,creamy,-4.8,romerige,creamy
Afrikaans,af,chalky,-1.1,kalk,lime
Afrikaans,af,varnished,-3.7,verniste,varnished
Afrikaans,af,flat,-2.7,plat,flat
Afrikaans,af,holey,2,gaten,holes
Afrikaans,af,etched,2.8,geëts,etched
Afrikaans,af,stiff,NA,styf,tight
Afrikaans,af,rigid,NA,rigiede,rigid
Afrikaans,af,grimy,-1.2,vuil,dirty
Afrikaans,af,slimy,-5.2,slymerige,slimy
Afrikaans,af,harsh,5.5,harde,hard
Afrikaans,af,oily,-6.2,olierige,oily
Afrikaans,af,lubricated,-6.2,gesmeerde,greased
Afrikaans,af,cuddly,NA,snoesige,cuddly
Afrikaans,af,melted,NA,gesmelt,melted
Afrikaans,af,crumbly,3.2,krummelrige,crumbly
Afrikaans,af,squeezable,NA,handelbaar,tractable
Afrikaans,af,papery,-3.2,papieragtige,papery
Afrikaans,af,cushiony,NA,gestoffeerd,padded
Afrikaans,af,cushioned,NA,gebufferde,buffered
Afrikaans,af,mushy,NA,pap,pap
Afrikaans,af,perforated,0.4,geperforeerde,perforated
Afrikaans,af,flabby,NA,pap,pap
Afrikaans,af,scaly,1.9,skubberige,scaly
Afrikaans,af,plush,NA,sagte,soft
Afrikaans,af,dusty,-0.8,stowwerige,dusty
Afrikaans,af,puffy,NA,pofferige,puffy
Afrikaans,af,soft,NA,sagte,soft
Afrikaans,af,gluey,-2.9,Lijmerig,gluey
Afrikaans,af,gooey,-4.9,slissend,gooey
Afrikaans,af,crinkled,2.4,geriffel,crinkled
Afrikaans,af,cracked,3.5,gekraak,cracked
Afrikaans,af,brassy,-2.3,onbeschaamd,brassy
Afrikaans,af,rugged,4,ruwe,rough
Afrikaans,af,ragged,3.3,verskeurde,ragged
Afrikaans,af,crisp,2,helder,bright
Afrikaans,af,fibrous,2.3,veselagtige,fibrous
